time,h2_top,h1_bot
7.75,308297.59,89821.77
7.76,308935.47,90097.91
7.77,309572.47,90373.51
7.78,310208.28,90648.36
7.79,310841.25,90923.44
7.8,311471.03,91196.3
7.81,312109.88,91469.88
7.82,312749.97,91752.34
7.83,313380.34,92033.56
7.84,314014.84,92313.48
7.85,314639.62,92593.71
7.86,315264.53,92872.71
7.87,315885.53,93153.53
7.88,316515.91,93429.23
7.89,317172.16,93712.27
7.9,317807.56,93994.26
7.91,318439.66,94273.44
7.92,319068.53,94552.8
7.93,319694.62,94836.02
7.94,320315.19,95118.23
7.95,320938.94,95403.63
7.96,321568.78,95686.66
7.97,322204.16,95970.77
7.98,322835.84,96255.96
7.99,323466.97,96539.45
8,324094.44,96821.22
8.01,324724.34,97107.45
8.02,325347.72,97390.34
8.03,325975.69,97679.7
8.04,326603.38,97971.55
8.05,327235.5,98259.96
8.06,327867.03,98547.34
8.07,328499.38,98834.83
8.08,329126.56,99122.63
8.09,329752.97,99411.06
8.1,330379.22,99698.47
8.11,331003.75,99985.62
8.12,331627,100284.88
8.13,332253.06,100584.57
8.14,332883.5,100877.27
8.15,333511.31,101170.85
8.16,334138.25,101462.72
8.17,334765,101754.1
8.18,335388.28,102047.23
8.19,336016.16,102335.47
8.2,336638.16,102629.9
8.21,337259.75,102925.1
8.22,337881.22,103224.49
8.23,338501.91,103521.84
8.24,339122.16,103818.12
8.25,339745.69,104114.28
8.26,340370.62,104409.88
8.27,340995.84,104707.97
8.28,341618.31,105004.15
8.29,342237.88,105301.07
8.3,342856.56,105600.28
8.31,343474.75,105898.36
8.32,344089.5,106195.89
8.33,344703.06,106494.74
8.34,345315.94,106794.59
8.35,345927.38,107096.74
8.36,346538.31,107394.73
8.37,347154.56,107699.55
8.38,347777.62,107999.8
8.39,348396.53,108301.06
8.4,349012.66,108600.92
8.41,349626.28,108901.11
8.42,350239.62,109205.16
8.43,350847.75,109509.74
8.44,351452.38,109816.35
8.45,352058.69,110126.73
8.46,352659.91,110430.42
8.47,353265.28,110734.19
8.48,353865.97,111039.97
8.49,354465.22,111345.28
8.5,355068,111650.01
8.51,355703.34,111953.22
8.52,356320.5,112260.52
8.53,356930.62,112582.57
8.54,357541.66,112896.38
8.55,358150.53,113208.05
8.56,358753.66,113517.23
8.57,359356.88,113828.77
8.58,359956.31,114136.32
8.59,360555.69,114445.86
8.6,361153.47,114755.17
8.61,361752,115063.13
8.62,362347.03,115376.81
8.63,362944.34,115692.7
8.64,363536.03,116007.71
8.65,364128.31,116320.82
8.66,364737.28,116636.86
8.67,365345.09,116950.22
8.68,365955.5,117262.67
8.69,366561.97,117576.41
8.7,367164.38,117892.43
8.71,367771.22,118211.22
8.72,368370.66,118527.39
8.73,368969.97,118842.27
8.74,369569.41,119156.7
8.75,370167.09,119473.11
8.76,370764.38,119791.62
8.77,371355.19,120112.07
8.78,371948.22,120431.59
8.79,372539.22,120748.58
8.8,373130.84,121068.84
8.81,373718.34,121387.66
8.82,374305.97,121705.79
8.83,374895.88,122024.76
8.84,375491.97,122342.52
8.85,376092.69,122661.93
8.86,376689.91,122987.29
8.87,377289.81,123314.66
8.88,377883.34,123639.78
8.89,378480.31,123963.6
8.9,379072.28,124288.92
8.91,379665.28,124611.12
8.92,380255.69,124933.45
8.93,380843.66,125253.75
8.94,381432.12,125576.26
8.95,382018.47,125899.8
8.96,382600.88,126238.42
8.97,383185.06,126572.11
8.98,383768.09,126903.03
8.99,384346.62,127233.81
9,384928.75,127560.95
9.01,385507.88,127886.75
9.02,386087,128215.8
9.03,386678.09,128541.09
9.04,387264.09,128868.32
9.05,387845.72,129200.77
9.06,388428.28,129532.34
9.07,389013.94,129866.42
9.08,389596.91,130195.77
9.09,390179.88,130528.88
9.1,390761.72,130863.38
9.11,391341.88,131195.31
9.12,391920.94,131527.47
9.13,392498.97,131858.95
9.14,393071.75,132193.16
9.15,393649.81,132530.45
9.16,394223.47,132863.84
9.17,394794.72,133198
9.18,395363.06,133533.39
9.19,395933.88,133865.53
9.2,396502.75,134203.05
9.21,397071.19,134538.2
9.22,397638.41,134874.91
9.23,398202.41,135215.05
9.24,398799.78,135551.66
9.25,399384.47,135888.12
9.26,399960.78,136227.86
9.27,400535.09,136561.25
9.28,401108.91,136899.81
9.29,401683.97,137237.94
9.3,402255.38,137574.55
9.31,402824.88,137914.55
9.32,403394.78,138261.7
9.33,403964.41,138604.67
9.34,404529.72,138946.53
9.35,405094.69,139290.62
9.36,405657.12,139632.27
9.37,406222.16,139974.73
9.38,406782.53,140312.77
9.39,407346.06,140656.81
9.4,407906.66,140994.83
9.41,408466.88,141336.53
9.42,409025.25,141699.28
9.43,409582.91,142049.42
9.44,410141.19,142397.25
9.45,410697.75,142746.72
9.46,411251.84,143095.39
9.47,411809.31,143441.31
9.48,412365.34,143789.72
9.49,412919.44,144134.06
9.5,413482.06,144479.12
9.51,414050.22,144827.41
9.52,414620.75,145182.09
9.53,415190.62,145531.97
9.54,415756.12,145882.56
9.55,416318.84,146233.75
9.56,416885,146582.69
9.57,417445.44,146933.17
9.58,418005.41,147286.8
9.59,418563.88,147637.27
9.6,419120.91,147990.27
9.61,419674.81,148342.61
9.62,420230.66,148696.95
9.63,420784,149051.12
9.64,421334.25,149405.06
9.65,421883.75,149754.66
9.66,422436.09,150108.56
9.67,422982.62,150460.2
9.68,423530.19,150816.09
9.69,424078.12,151173.23
9.7,424624.69,151528.81
9.71,425171.44,151888.17
9.72,425714.09,152242.97
9.73,426261.66,152600.84
9.74,426803.22,152955.91
9.75,427345.62,153311.73
9.76,427886.97,153666.81
9.77,428426.31,154023.72
9.78,428965.47,154377.12
9.79,429513.72,154735.59
9.8,430062.59,155101.66
9.81,430608.38,155465.22
9.82,431151.75,155827
9.83,431696.81,156190.16
9.84,432242.81,156551.38
9.85,432790.19,156912.55
9.86,433336.34,157272.47
9.87,433880.94,157631.56
9.88,434423.47,157992
9.89,434966.59,158350.08
9.9,435507.84,158720.81
9.91,436049.44,159094.14
9.92,436590.81,159464.33
9.93,437126.53,159831.05
9.94,437663.94,160197.36
9.95,438197.72,160564.98
9.96,438733.97,160932.12
9.97,439268.03,161294.06
9.98,439802.91,161661.78
9.99,440337.22,162024.88
10,440873,162393.77
10.01,441407.53,162767.2
10.02,441942.41,163140.86
10.03,442471.66,163508.94
10.04,443002.34,163878.31
10.05,443530.62,164245.94
10.06,444059.09,164615.36
10.07,444586.88,164985.27
10.08,445110.91,165354.88
10.09,445636.5,165725.47
10.1,446160.88,166099.14
10.11,446685.78,166472.72
10.12,447233.12,166842.66
