tempo,q
9.61,0.00553656
9.62,0.00552794
9.63,0.00551936
9.64,0.0055108
9.65,0.00550226
9.66,0.00549372
9.67,0.00548522
9.68,0.00547674
9.69,0.0054683
9.7,0.00545986
9.71,0.00545144
9.72,0.00544306
9.73,0.00543468
9.74,0.00542618
9.75,0.00541754
9.76,0.00540904
9.77,0.00540064
9.78,0.00539232
9.79,0.00538402
9.8,0.00537578
9.81,0.00536756
9.82,0.00535936
9.83,0.00535114
9.84,0.0053429
9.85,0.00533466
9.86,0.00532642
9.87,0.00531822
9.88,0.00531002
9.89,0.00530184
9.9,0.0052937
9.91,0.00528556
9.92,0.00527746
9.93,0.00526938
9.94,0.0052613
9.95,0.00525322
9.96,0.00524516
9.97,0.00523714
9.98,0.00522914
9.99,0.00522118
10,0.00521324
10.01,0.00520534
10.02,0.00519746
10.03,0.0051896
10.04,0.00518176
10.05,0.00517394
10.06,0.00516616
10.07,0.0051584
10.08,0.00515066
10.09,0.00514292
10.1,0.00513522
10.11,0.00512754
10.12,0.00511986
10.13,0.00511222
10.14,0.0051046
10.15,0.00509698
10.16,0.0050894
10.17,0.00508182
10.18,0.00507426
10.19,0.00506672
10.2,0.00505918
10.21,0.00505166
10.22,0.00504414
10.23,0.00503664
10.24,0.00502916
10.25,0.0050217
10.26,0.00501424
10.27,0.0050068
10.28,0.00499936
10.29,0.00499196
10.3,0.00498454
10.31,0.00497714
10.32,0.00496974
10.33,0.00496234
10.34,0.00495494
10.35,0.00494756
10.36,0.0049402
10.37,0.00493286
10.38,0.00492554
10.39,0.00491824
10.4,0.00491096
10.41,0.00490372
10.42,0.00489648
10.43,0.00488928
10.44,0.00488206
10.45,0.00487484
10.46,0.00486764
10.47,0.00486044
10.48,0.00485328
10.49,0.00484614
10.5,0.004839
10.51,0.0048319
10.52,0.00482482
10.53,0.00481776
10.54,0.0048107
10.55,0.00480368
10.56,0.00479666
10.57,0.00478966
10.58,0.00478262
10.59,0.00477552
10.6,0.0047684
10.61,0.0047613
10.62,0.00475422
10.63,0.00474718
10.64,4.74E-03
10.65,4.73E-03
10.66,4.73E-03
10.67,4.72E-03
10.68,4.71E-03
10.69,4.71E-03
10.7,4.70E-03
10.71,4.69E-03
10.72,4.68E-03
10.73,4.68E-03
10.74,4.67E-03
10.75,4.66E-03
10.76,4.66E-03
10.77,4.65E-03
10.78,4.64E-03
10.79,4.64E-03
10.8,4.63E-03
10.81,4.62E-03
10.82,4.62E-03
10.83,4.61E-03
10.84,4.60E-03
10.85,4.60E-03
10.86,4.59E-03
10.87,4.58E-03
10.88,4.58E-03
10.89,4.57E-03
10.9,4.56E-03
10.91,4.56E-03
10.92,4.55E-03
10.93,4.55E-03
10.94,4.54E-03
10.95,4.53E-03
10.96,4.53E-03
10.97,4.52E-03
10.98,4.51E-03
10.99,4.51E-03
11,4.50E-03
11.01,4.49E-03
11.02,4.49E-03
11.03,4.48E-03
11.04,4.47E-03
11.05,4.47E-03
11.06,4.46E-03
11.07,4.45E-03
11.08,4.45E-03
11.09,4.44E-03
11.1,4.44E-03
11.11,4.43E-03
11.12,4.42E-03
11.13,4.42E-03
11.14,4.41E-03
11.15,4.40E-03
11.16,4.40E-03
11.17,4.39E-03
11.18,4.39E-03
11.19,4.38E-03
11.2,4.37E-03
11.21,4.37E-03
11.22,4.36E-03
11.23,4.35E-03
11.24,4.35E-03
11.25,4.34E-03
